                        id                         | mediaobject_id |       mid        |                                      programurl                                      
 42205070                                          |       16873318 | POMS_VPRO_056101 | http://download.omroep.nl/vpro/42205070.mp3
 39588774                                          |       16875973 | POMS_VPRO_056430 | http://download.omroep.nl/vpro/39588774.mp3
 42202062                                          |        7140011 | POMS_VPRO_209407 | http://download.omroep.nl/vpro/42202062.mp3
 42202062                                          |       16873346 | POMS_VPRO_056105 | http://download.omroep.nl/vpro/42202062.mp3
 39771217                                          |       16872306 | POMS_VPRO_056021 | http://download.omroep.nl/vpro/39771217.mp3
 39588969                                          |       16875915 | POMS_VPRO_056423 | http://download.omroep.nl/vpro/39588969.mp3
 41579183                                          |        7091201 | POMS_VPRO_213358 | http://download.omroep.nl/vpro/41579183.mp3
 41579183                                          |       16875647 | POMS_VPRO_056393 | http://download.omroep.nl/vpro/41579183.mp3
 38988551                                          |       16876150 | POMS_VPRO_056453 | http://download.omroep.nl/vpro/38988551.mp3
 39860052                                          |       16874908 | POMS_VPRO_056297 | http://download.omroep.nl/vpro/39860052.mp3
 36626825                                          |       17610308 | POMS_VPRO_070900 | http://download.omroep.nl/vpro/36626825.mp3
 42193856                                          |       16874063 | POMS_VPRO_056177 | http://download.omroep.nl/vpro/42193856.mp3
 39633225                                          |       16872753 | POMS_VPRO_056057 | http://download.omroep.nl/vpro/39633225.mp3
 het_marathoninterview_2008_01_januari_2008_uur_2  |       16872370 | POMS_VPRO_056028 | http://download.omroep.nl/vpro/het_marathoninterview_2008_01_januari_2008_uur_2.mp3
